기준연도,대표문의,사이트,서비스URL,서비스명,서비스아이디,서비스요약,소관부처명,소관조직명,최종수정일
2025,보훈상담센터1577-0606,국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000050&wlfareInfoReldBztpCd=01,무공영예수당,WLF00000050,무공수훈자에게 수당을 지급하여 생활안정과 복지향상을 도모합니다.,국가보훈부,보상정책과,2025-03-28
2025,보훈상담센터1577-0606,국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000051&wlfareInfoReldBztpCd=01,고엽제환자2세수당,WLF00000051,고엽제후유증환자의 자녀가 안정된 생활을 할 수 있도록  장애 정도에 따른 수당을 지원합니다.,국가보훈부,보상정책과,2025-03-28
2025,한국장학재단 상담센터1599-2290,한국장학재단http://www.kosaf.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000052&wlfareInfoReldBztpCd=01,인문100년장학금,WLF00000052,인문사회계열 우수학생에게 학자금을 지원하여 인문학 소양을 갖춘 인재를 양성할 수 있도록 장학금을 지원합니다.,교육부,청년장학지원과,2025-04-15
2025,DB손해보험(풍수해보험)044-205-5990 KB손해보험(풍수해보험)044-205-5993 NH농협손해보험(풍수해보험)044-205-5994 메리츠화재해상보험(풍수해보험)044-205-5996 삼성화재(풍수해보험)044-205-5992 재난보험과044-205-5359 한화손해보험(풍수해보험)044-205-5995 현대해상(풍수해보험)044-205-5991,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000053&wlfareInfoReldBztpCd=01,풍수해·지진재해보험료 지원,WLF00000053,행정안전부가 관장하고 민영보험사가 판매 및 운영하는 정책보험으로 보험료의 일부를 국가가 보조하여 국민은 저렴한 보험료로 예기치 못한 풍수해 피해를 보상받도록 합니다.,행정안전부,재난보험과,2025-05-23
2025,보훈상담센터1577-0606,국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000054&wlfareInfoReldBztpCd=01,국가보훈대상자 보훈장학금,WLF00000054,"보훈관계 법령상 학비가 면제되지 않는 대학원 재학 국가유공자, 5·18민주유공자, 보훈보상대상자 본인 등에 대해 장학지원을 하여 면학의욕을 고취합니다.",국가보훈부,생활안정과,2025-05-23
2025,문화누리카드1544-3412,문화누리카드www.mnuri.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000055&wlfareInfoReldBztpCd=01,통합문화이용권,WLF00000055,기초생활수급자 및 차상위 계층 대상 문화예술·국내 여행·체육 활동 지원을 통해 문화 향유 기회 확대로 문화격차 완화 및 소외계층의 삶의 질 향상을 도모합니다.,문화체육관광부,문화정책과,2025-03-18
2025,보건복지상담센터129,보건복지부http://www.mohw.go.kr 보건복지상담센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000056&wlfareInfoReldBztpCd=01,의료급여(요양비),WLF00000056,의료급여 수급권자에게 의료비를 지원하여 저소득층의  국민보건 향상과 사회복지 증진에 기여합니다.,보건복지부,기초의료보장과,2025-05-26
2025,SH공사 홈페이지1600-3456 경기도시공사1588-0466 한국토지주택공사1600-1004,SH공사 홈페이지http://www.i-sh.co.kr 경기도시공사www.gico.or.kr/ 한국토지주택공사http://www.lh.or.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000057&wlfareInfoReldBztpCd=01,공공분양,WLF00000057,저소득층의 주거안정 및 무주택자의 내 집 마련 기회를 제공합니다.,국토교통부,공공주택정책과,2025-02-26
2025,SC제일은행 고객 센터1588-1599 SH수협1588-1515 경남은행 고객 센터1588-8585 광주은행 고객 센터1588-3388 기업은행 고객센터1566-2566 농협 고객 센터1588-2100 대구은행 고객 센터1588-5050 부산은행 고객 센터1588-6200 상호저축은행 중앙회02-3978-600 소상공인시장진흥공단1357 신한은행 고객센터1599-8000 씨티은행 고객 센터1588-7000 외환은행 고객 센터1588-3500 우리은행 고객센터080-365-5000 전북은행 고객 센터1588-4477 제주은행 고객 센터1588-0079 하나은행 고객센터1599-1111,SH수협http://suhyup-bank.com 소상공인시장진흥공단www.semas.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000058&wlfareInfoReldBztpCd=01,소상공인지원(융자),WLF00000058,국가경제의 균형발전을 도모하기 위하여 소상공인의 창업 및 경영 개선 활동을 지원합니다.,중소벤처기업부,기업금융과,2025-03-12
2025,보건복지상담센터129,보건복지부http://www.mohw.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000059&wlfareInfoReldBztpCd=01,희망복지지원단 통합사례관리사업,WLF00000059,"지역주민의 다양한 욕구에 맞춤형 서비스를 연계, 제공함으로써 지역주민의 안정적인 삶을 지원합니다.",보건복지부,지역복지과,2025-03-06
2025,보건복지상담센터129 복지로 상담센터1566-0313 자산형성지원 콜센터1522-3690,보건복지상담센터http://www.129.go.kr 자산형성포털https://hope.welfareinfo.or.kr 한국자활복지개발원https://www.kdissw.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000060&wlfareInfoReldBztpCd=01,청년내일저축계좌,WLF00000060,"근로빈곤층 청년의 생계수급자 등으로의 하락을 사전에 예방하고, 일하는 중간계층 청년이 사회에 안착할 수 있도록 자산형성을 지원합니다.",보건복지부,자활정책과,2025-04-29
2025,보건복지상담센터129,보건복지부 콜센터http://www.129.go.kr 보건복지부http://www.mohw.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000061&wlfareInfoReldBztpCd=01,의료급여 임신.출산진료비지원,WLF00000061,임신 또는 출산한 의료급여 수급자와 2세미만 자녀에게 의료비를 지원하여 저소득층 국민보건 향상과 사회복지 증진에 기여합니다.,보건복지부,기초의료보장과,2025-05-26
2025,한국토지주택공사1600-1004,한국토지주택공사http://www.lh.or.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000062&wlfareInfoReldBztpCd=01,기존주택등 매입임대주택 지원사업,WLF00000062,저소득층 국민이 도심 내에 안정적으로 거주할 수 있도록 기존주택 등을 매입하여 저렴하게 공급합니다.,국토교통부,주거복지지원과,2025-03-28
2025,남북하나재단02-3215-5793 북한이탈주민 종합상담 콜센터1577-6635,남북하나재단https://www.koreahana.or.kr 통일부www.unikorea.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000063&wlfareInfoReldBztpCd=01,(북한이탈주민)교육비 지원,WLF00000063,북한이탈주민이 안정적인 정착기반을 마련하고 교육적 어려움을 해소할 수 있도록 교육비를 지원합니다.,통일부,자립지원과,2025-04-15
2025,보건복지상담센터129 사회서비스전자바우처1566-3232,보건복지상담센터http://www.129.go.kr 사회서비스전자바우처https://www.socialservice.or.kr:444/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000064&wlfareInfoReldBztpCd=01,발달장애인 부모상담지원사업,WLF00000064,발달장애인 부모에게 발달장애인의 양육과 부양에 따른 심리적 부담 완화 및 가족기능 향상 도모를 위한 전문 심리상담을 지원합니다.,보건복지부,장애인서비스과,2025-05-23
2025,보건복지상담센터129,보건복지상담센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000065&wlfareInfoReldBztpCd=01,발달장애인 공공후견지원 사업,WLF00000065,의사결정능력 부족으로 어려움을 겪고 있는 성인 발달장애인에게 공공후견서비스를 제공하여 자립생활을 지원합니다.,보건복지부,장애인서비스과,2025-05-07
2025,17개 광역지자체시군구청 정보화담당관 연락처,17개 광역지자체www.디지털배움터.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000066&wlfareInfoReldBztpCd=01,장애인 집합 정보화교육,WLF00000066,장애인을 대상으로 다양한 정보화교육을 실시하여 정보사회 적응력 및 생산적 정보활용능력 향상을 지원합니다.,과학기술정보통신부,디지털포용정책팀,2025-03-18
2025,보건복지상담센터129,보건복지부http://www.mohw.go.kr 보건복지상담센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000067&wlfareInfoReldBztpCd=01,의료급여 장애인보조기기 지원,WLF00000067,의료급여수급 장애인에게 장애인보조기기비용을 지원하여 저소득 장애인의 삶의 질 향상과 사회복지 증진에 기여합니다.,보건복지부,기초의료보장과,2025-05-07
2025,한국장애인고용공단1588-1519,한국장애인고용공단http://www.kead.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000068&wlfareInfoReldBztpCd=01,장애인고용증진융자,WLF00000068,"장애인을 고용하여 사업을 하거나 하고자 하는 사업주에게 장애인 고용 관련 작업시설, 부대시설, 편의시설 등의 설치·구입·수리비용의 융자 이자를 지원하여 장애인 고용창출 및 고용안정을 도모합니다.",고용노동부,장애인고용과,2025-03-27
2025,한국보훈복지의료공단 보훈원031-250-1521,한국보훈복지의료공단 보훈원http://town.bohun.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000069&wlfareInfoReldBztpCd=01,양로지원,WLF00000069,부양의무자가 없는 국가유공자 등에게 보훈원(양로시설) 입소 후 의식주 등 생활보장과 의료지원 및 사후 묘지 안장 등을 지원합니다.,국가보훈부,복지서비스과,2025-03-28
2025,새일센터 홈페이지(e새일)1544-1199 여성가족부02-2100-6000,새일센터 홈페이지(e새일)https://saeil.mogef.go.kr 여성가족부http://www.mogef.go.kr/index.jsp,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000071&wlfareInfoReldBztpCd=01,여성경제활동 촉진지원(여성새로일하기지원센터 사업),WLF00000071,"경력단절여성 등을 대상으로 취업상담, 직업교육, 인턴, 취업 연계 및 사후관리까지 종합취업서비스를 지원합니다.",여성가족부,경력단절여성지원과,2025-02-28
2025,에너지바우처 콜센터1600-3190,에너지바우처 홈페이지www.energyv.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000072&wlfareInfoReldBztpCd=01,에너지바우처,WLF00000072,에너지취약계층에게 에너지바우처를 지급하여 전기·가스·지역난방·등유·LPG 등 필요 에너지의 이용 비용을 지원합니다.,산업통상자원부,에너지정책관,2025-06-13
2025,소관 행정복지센터소관 행정복지센터,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000074&wlfareInfoReldBztpCd=01,양곡할인,WLF00000074,정부양곡을 기초수급가구 및 차상위계층에 할인된 가격으로 지원함으로써 저소득층의 생활안정을 도모합니다.,농림축산식품부,식량정책과,2025-02-26
2025,여성기업종합지원센터 통합문의처02-369-0900 여성기업확인서 문의처02-2038-8953,(재)여성기업종합지원센터www.wbiz.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000075&wlfareInfoReldBztpCd=01,여성기업종합지원센터운영,WLF00000075,여성기업 지원을 통해 여성의 창업을 활성화하고 여성기업의 경쟁력을 강화합니다.,중소벤처기업부,중소기업제도과,2025-03-06
2025,스포츠강좌이용권 상담 및 문의(국민체육진흥공단)1551-0078,스포츠강좌이용권 홈페이지(국민체육진흥공단)http://svoucher.kspo.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000076&wlfareInfoReldBztpCd=01,스포츠강좌이용권,WLF00000076,저소득층 유청소년에게 지속적인 스포츠 활동 기회를 보장하여  체력향상과 건전한 여가활동을 지원합니다.,문화체육관광부,체육진흥과,2025-06-05
2025,대한적십자사 고객센터02-3705-3705 보건복지부 콜센터129 한국원폭피해자협회055-933-1945,대한적십자사http://www.redcross.or.kr/ 보건복지부 콜센터http://www.129.go.kr 한국원폭피해자협회http://www.wonpok.or.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000077&wlfareInfoReldBztpCd=01,원폭피해자지원,WLF00000077,"2차대전 당시 재일 한국인 원폭피해자에게 진료비, 진료보조비, 장제비 및 합천원폭피해자복지회관 입주지원 등을 통해 복지증진을 도모합니다.",보건복지부,질병정책과,2025-03-04
2025,여성가족부02-2100-6000,여성가족부http://www.mogef.go.kr/index.jsp,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000078&wlfareInfoReldBztpCd=01,청소년특별지원,WLF00000078,"보호자가 없거나, 실질적으로 보호자의 보호를 받지 못하는 사회, 경제적으로 어려움이 있는 위기청소년이 올바르게 성장하고 안정된 생활을 할 수 있도록 지원합니다.",여성가족부,학교밖청소년지원과,2025-05-07
2025,북한이탈주민 종합상담 콜센터1577-6635 북한이탈주민지원재단 교육지원부02-3215-5793 통일부 정착지원과02-2100-5786,남북하나재단www.koreahana.or.kr 통일부www.unikorea.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000086&wlfareInfoReldBztpCd=01,(북한이탈주민) 탈북청소년 교육지원,WLF00000086,탈북청소년의 학교생활 적응 지원을 통해 대한민국의 건강한 구성원으로 자립할 수 있도록 지원합니다.,통일부,자립지원과,2025-04-15
2025,행정안전부 고객센터02-2100-3399,행정안전부 고객센터http://www.mois.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000087&wlfareInfoReldBztpCd=01,"지방세 비과세감면(주민세, 취득세, 자동차세, 재산세, 지역자원시설세 등)",WLF00000087,"기초생활수급자, 국가유공자, 장애인 등이 부담하는 지방세를 감면&middot;면제하여 생활 안정과 시설 운영을 돕습니다.",행정안전부,지방세특례제도과,2025-03-04
2025,한국환경산업기술원 석면피해 구제팀1833-7690,한국환경산업기술원 석면피해 구제팀www.adrc.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000088&wlfareInfoReldBztpCd=01,석면피해구제급여,WLF00000088,석면으로 인한 건강피해자 및 유족에게 구제급여를 지급하여 건강피해를 신속하고 공정하게 구제합니다.,환경부,환경피해구제과,2025-03-21
2025,보건복지상담센터129,보건복지상담센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000089&wlfareInfoReldBztpCd=01,다함께 돌봄 사업,WLF00000089,지역 중심의 맞춤형 돌봄 서비스를 제공하여 돌봄사각지대를 해소하고 맞벌이 가구 등의 육아부담을 경감합니다.,보건복지부,아동보호자립과,2025-04-14
2025,교육부 평생직업교육기획과044-203-6379,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000090&wlfareInfoReldBztpCd=01,대학의 장애학생지원센터 운영 지원,WLF00000090,장애대학생의 고등교육 활동에 필요한 각종 편의를 지원하여 학습효과를 증대하고 고등교육 기회를 확대합니다.,교육부,평생직업교육기획과,2025-02-26
2025,가족상담전화1644-6621(내선2번) 강원특별자치도 여성청소년가족과033-249-2698 경기도 가족다문화과031-8008-3356 경상남도 여성가족과055-211-5245 경상남도 여성가족과055-211-5245 광주광역시 여성가족과062-613-2291 대구광역시 여성가족과053-803-6723 대전광역시 여성가족청소년과042-270-3167 부산광역시 여성가족과051-888-1601 서울특별시 가족담당관02-2133-6547 울산광역시 여성가족청소년과052-229-3483 인천광역시 인구가족과032-440-2872 전라남도 여성가족정책관061-286-5944 전북특별자치도 여성가족과063-280-2522 제주특별자치도 복지정책과064-710-2874 충청남도 여성가족정책관041-635-2042 충청북도 양성평등가족정책관043-220-3934,가족상담전화www.kihf.or.kr 강원특별자치도 여성청소년가족과www.provin.gangwon.kr 경기도 가족다문화과www.gg.go.kr 대구광역시 여성가족과www.daegu.go.kr 대전광역시 여성가족청소년과www.daejeon.go.kr 부산광역시 여성가족과www.busan.go.kr 울산광역시 여성가족청소년과www.ulsan.go.kr 전라남도 여성가족정책관www.jeonnam.go.kr 전북특별자치도 여성가족과www.jeonbuk.go.kr 제주특별자치도 복지정책과www.jeju.go.kr 충청북도 양성평등가족정책관www.chungbuk.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000091&wlfareInfoReldBztpCd=01,한부모가족복지시설 지원,WLF00000091,저소득 무주택 한부모가족의 안정을 위해 일정기간동안 한부모가족복지시설에 거주할 수 있도록 지원합니다.,여성가족부,가족지원과,2025-05-29
